"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"275";"BAU-3650-BL";"BAU-3650-BL";"Baustein 2x6 blau";"05-800-06";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"276";"BAU-3650-BL";"BAU-3650-BL";"Baustein 2x6 blau";"05-800-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"277";"BAU-3660-RO";"BAU-3660-RO";"Baustein 2x6 rot";"05-900-01";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"278";"BAU-3660-RO";"BAU-3660-RO";"Baustein 2x6 rot";"05-900-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"279";"BAU-3670-GE";"BAU-3670-GE";"Baustein 2x6 gelb";"05-900-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"280";"BAU-3670-GE";"BAU-3670-GE";"Baustein 2x6 gelb";"05-900-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"281";"BAU-3680-SW";"BAU-3680-SW";"Baustein 2x6 schwarz";"05-900-03";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"282";"BAU-3680-SW";"BAU-3680-SW";"Baustein 2x6 schwarz";"05-900-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"283";"BAU-3690-LI";"BAU-3690-LI";"Baustein 2x6 lila";"05-900-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"284";"BAU-3690-LI";"BAU-3690-LI";"Baustein 2x6 lila";"05-900-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"285";"BAU-3700-OR";"BAU-3700-OR";"Baustein 2x6 orange";"05-900-05";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"286";"BAU-3700-OR";"BAU-3700-OR";"Baustein 2x6 orange";"05-900-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"287";"BAU-3710-BR";"BAU-3710-BR";"Baustein 2x6 braun";"05-900-06";"7";"";"";"";"";"";"";"2024-12-20 14:45:56"
"288";"BAU-3710-BR";"BAU-3710-BR";"Baustein 2x6 braun";"05-900-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"289";"BUC-4300-AA";"BUC-4300-AA";"Holzbuchstabe A";"03-300-06";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"290";"BUC-4300-AA";"BUC-4300-AA";"Holzbuchstabe A";"03-300-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"291";"BUC-4310-BB";"BUC-4310-BB";"Holzbuchstabe B";"03-400-01";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"292";"BUC-4310-BB";"BUC-4310-BB";"Holzbuchstabe B";"03-400-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"293";"BUC-4320-CC";"BUC-4320-CC";"Holzbuchstabe C";"03-400-02";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"294";"BUC-4320-CC";"BUC-4320-CC";"Holzbuchstabe C";"03-400-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"295";"BUC-4330-DD";"BUC-4330-DD";"Holzbuchstabe D";"03-400-03";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"296";"BUC-4330-DD";"BUC-4330-DD";"Holzbuchstabe D";"03-400-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"297";"BUC-4340-EE";"BUC-4340-EE";"Holzbuchstabe E";"03-400-04";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"298";"BUC-4340-EE";"BUC-4340-EE";"Holzbuchstabe E";"03-400-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"299";"BUC-4350-FF";"BUC-4350-FF";"Holzbuchstabe F";"03-400-05";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"300";"BUC-4350-FF";"BUC-4350-FF";"Holzbuchstabe F";"03-400-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"301";"BUC-4360-GG";"BUC-4360-GG";"Holzbuchstabe G";"03-400-06";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"302";"BUC-4360-GG";"BUC-4360-GG";"Holzbuchstabe G";"03-400-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"303";"BUC-4370-HH";"BUC-4370-HH";"Holzbuchstabe H";"03-500-01";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"304";"BUC-4370-HH";"BUC-4370-HH";"Holzbuchstabe H";"03-500-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"305";"BUC-4380-KK";"BUC-4380-KK";"Holzbuchstabe K";"03-500-02";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"306";"BUC-4380-KK";"BUC-4380-KK";"Holzbuchstabe K";"03-500-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"307";"BUC-4390-LL";"BUC-4390-LL";"Holzbuchstabe L";"03-500-03";"120";"";"";"";"";"";"";"2024-12-20 14:45:56"
"308";"BUC-4390-LL";"BUC-4390-LL";"Holzbuchstabe L";"03-500-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"309";"BUC-4400-MM";"BUC-4400-MM";"Holzbuchstabe M";"03-500-04";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"310";"BUC-4400-MM";"BUC-4400-MM";"Holzbuchstabe M";"03-500-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"311";"BUC-4410-NN";"BUC-4410-NN";"Holzbuchstabe N";"03-500-05";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"312";"BUC-4410-NN";"BUC-4410-NN";"Holzbuchstabe N";"03-500-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"313";"BUC-4420-OO";"BUC-4420-OO";"Holzbuchstabe O";"03-500-06";"120";"";"";"";"";"";"";"2024-12-20 14:45:56"
"314";"BUC-4420-OO";"BUC-4420-OO";"Holzbuchstabe O";"03-500-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"315";"BUC-4430-PP";"BUC-4430-PP";"Holzbuchstabe P";"03-600-01";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"316";"BUC-4430-PP";"BUC-4430-PP";"Holzbuchstabe P";"03-600-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"317";"BUC-4440-QQ";"BUC-4440-QQ";"Holzbuchstabe Q";"03-600-02";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"318";"BUC-4440-QQ";"BUC-4440-QQ";"Holzbuchstabe Q";"03-600-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"319";"BAL-3800-RO";"BAL-3800-RO";"Plueschball klein rot 1.5 cm";"02-800-04";"75";"";"";"";"";"";"";"2024-12-20 14:45:56"
"320";"BUC-4450-RR";"BUC-4450-RR";"Holzbuchstabe R";"03-600-03";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"321";"BAL-3800-RO";"BAL-3800-RO";"Plueschball klein rot 1.5 cm";"02-800-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"322";"BUC-4450-RR";"BUC-4450-RR";"Holzbuchstabe R";"03-600-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"323";"BAL-3810-GE";"BAL-3810-GE";"Plueschball klein gelb 1.5 cm";"02-900-03";"90";"";"";"";"";"";"";"2024-12-20 14:45:56"
"324";"BUC-4460-SS";"BUC-4460-SS";"Holzbuchstabe S";"03-600-04";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"325";"BAL-3810-GE";"BAL-3810-GE";"Plueschball klein gelb 1.5 cm";"02-900-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"326";"BUC-4460-SS";"BUC-4460-SS";"Holzbuchstabe S";"03-600-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"327";"BAL-3820-BL";"BAL-3820-BL";"Plueschball klein blau 1.5 cm";"02-900-02";"90";"";"";"";"";"";"";"2024-12-20 14:45:56"
"328";"BUC-4470-TT";"BUC-4470-TT";"Holzbuchstabe T";"03-600-05";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"329";"BAL-3820-BL";"BAL-3820-BL";"Plueschball klein blau 1.5 cm";"02-900-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"330";"BUC-4470-TT";"BUC-4470-TT";"Holzbuchstabe T";"03-600-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"331";"BAL-3830-WE";"BAL-3830-WE";"Plueschball klein weiß 1.5 cm";"02-900-01";"70";"";"";"";"";"";"";"2024-12-20 14:45:56"
"332";"BUC-4480-UU";"BUC-4480-UU";"Holzbuchstabe U";"03-600-06";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
"333";"BAL-3830-WE";"BAL-3830-WE";"Plueschball klein weiß 1.5 cm";"02-900-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"334";"BUC-4480-UU";"BUC-4480-UU";"Holzbuchstabe U";"03-600-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"335";"BAL-3840-HB";"BAL-3840-HB";"Plueschball klein hellblau 1.5 cm";"02-800-03";"65";"";"";"";"";"";"";"2024-12-20 14:45:56"
"336";"BUC-4490-VV";"BUC-4490-VV";"Holzbuchstabe V";"03-700-01";"50";"";"";"";"";"";"";"2025-01-16 10:22:06"
"337";"BAL-3840-HB";"BAL-3840-HB";"Plueschball klein hellblau 1.5 cm";"02-800-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"338";"BUC-4490-VV";"BUC-4490-VV";"Holzbuchstabe V";"03-700-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"339";"BAL-3850-HR";"BAL-3850-HR";"Plueschball klein hellrosa 1.5 cm";"02-800-05";"205";"";"";"";"";"";"";"2024-12-20 14:45:56"
"340";"BUC-4500-WW";"BUC-4500-WW";"Holzbuchstabe W";"03-700-02";"60";"";"";"";"";"";"";"2024-12-20 14:45:56"
